Date,Transport type,Percentage
2020-10-10,London underground,43
2020-10-11,London underground,41
2020-10-12,London underground,33
2020-10-13,London underground,34
2020-10-14,London underground,35
2020-10-15,London underground,36
2020-10-16,London underground,38
2020-10-17,London underground,37
2020-10-18,London underground,39
2020-10-19,London underground,32
2020-10-20,London underground,32
2020-10-21,London underground,32
2020-10-22,London underground,33
2020-10-23,London underground,34
2020-10-24,London underground,37
2020-10-25,London underground,41
2020-10-26,London underground,33
2020-10-27,London underground,33
2020-10-28,London underground,34
2020-10-29,London underground,34
2020-10-30,London underground,36
2020-10-31,London underground,39
2020-11-01,London underground,40
2020-11-02,London underground,37
2020-11-03,London underground,40
2020-11-04,London underground,43
2020-11-05,London underground,23
2020-11-06,London underground,22
2020-11-07,London underground,17
2020-11-08,London underground,16
2020-11-09,London underground,23
2020-11-10,London underground,23
2020-11-11,London underground,23
2020-11-12,London underground,22
2020-11-13,London underground,23
2020-11-14,London underground,18
2020-11-15,London underground,19
2020-11-16,London underground,24
2020-11-17,London underground,24
2020-11-18,London underground,23
2020-11-19,London underground,23
2020-11-20,London underground,23
2020-11-21,London underground,18
2020-11-22,London underground,19
2020-11-23,London underground,24
2020-11-24,London underground,24
2020-11-25,London underground,23
2020-11-26,London underground,23
2020-11-27,London underground,23
2020-11-28,London underground,19
2020-11-29,London underground,19
2020-11-30,London underground,25
2020-12-01,London underground,25
2020-12-02,London underground,30
2020-12-03,London underground,31
2020-12-04,London underground,34
2020-12-05,London underground,40
2020-12-06,London underground,38
2020-12-07,London underground,32
2020-12-08,London underground,33
2020-12-09,London underground,34
2020-12-10,London underground,34
2020-12-11,London underground,36
2020-12-12,London underground,43
2020-12-13,London underground,37
2020-12-14,London underground,35
2020-12-15,London underground,38
2020-12-16,London underground,29
2020-12-17,London underground,29
2020-12-18,London underground,29
2020-12-19,London underground,32
2020-12-20,London underground,19
2020-12-21,London underground,22
2020-12-22,London underground,21
2020-12-23,London underground,20
2020-12-24,London underground,22
2020-12-25,London underground,
2020-12-26,London underground,9
2020-12-27,London underground,14
2020-12-28,London underground,25
2020-12-29,London underground,17
2020-12-30,London underground,18
2020-12-31,London underground,17
2021-01-01,London underground,12
2021-01-02,London underground,15
2021-01-03,London underground,19
2021-01-04,London underground,19
2021-01-05,London underground,17
2021-01-06,London underground,17
2021-01-07,London underground,16
2021-01-08,London underground,16
2021-01-09,London underground,14
2021-01-10,London underground,14
2021-01-11,London underground,16
2021-01-12,London underground,16
2021-01-13,London underground,15
2021-01-14,London underground,15
2021-01-15,London underground,16
2021-01-16,London underground,12
2021-01-17,London underground,24
2021-01-18,London underground,16
2021-01-19,London underground,15
2021-01-20,London underground,15
2021-01-21,London underground,15
2021-01-22,London underground,16
2021-01-23,London underground,13
2021-01-24,London underground,12
2021-01-25,London underground,17
2021-01-26,London underground,16
2021-01-27,London underground,16
2021-01-28,London underground,16
2021-01-29,London underground,16
2021-01-30,London underground,14
2021-01-31,London underground,15
2021-02-01,London underground,17
2021-02-02,London underground,17
2021-02-03,London underground,17
2021-02-04,London underground,16
2021-02-05,London underground,17
2021-02-06,London underground,15
2021-02-07,London underground,18
2021-02-08,London underground,17
2020-03-01,London bus,102
2020-03-02,London bus,97
2020-03-03,London bus,96
2020-03-04,London bus,97
2020-03-05,London bus,92
2020-03-06,London bus,96
2020-03-07,London bus,93
2020-03-08,London bus,95
2020-03-09,London bus,95
2020-03-10,London bus,97
2020-03-11,London bus,93
2020-03-12,London bus,92
2020-03-13,London bus,87
2020-03-14,London bus,83
2020-03-15,London bus,74
2020-03-16,London bus,79
2020-03-17,London bus,70
2020-03-18,London bus,65
2020-03-19,London bus,59
2020-03-20,London bus,52
2020-03-21,London bus,39
2020-03-22,London bus,32
2020-03-23,London bus,31
2020-03-24,London bus,22
2020-03-25,London bus,19
2020-03-26,London bus,18
2020-03-27,London bus,18
2020-03-28,London bus,17
2020-03-29,London bus,16
2020-03-30,London bus,17
2020-03-31,London bus,17
2020-04-01,London bus,16
2020-04-02,London bus,16
2020-04-03,London bus,16
2020-04-04,London bus,17
2020-04-05,London bus,17
2020-04-06,London bus,18
2020-04-07,London bus,18
2020-04-08,London bus,17
2020-04-09,London bus,18
2020-04-10,London bus,17
2020-04-11,London bus,16
2020-04-12,London bus,14
2020-04-13,London bus,18
2020-04-14,London bus,19
2020-04-15,London bus,18
2020-04-16,London bus,18
2020-04-17,London bus,18
2020-04-18,London bus,16
2020-04-19,London bus,null
2020-04-20,London bus,null
2020-04-21,London bus,null
2020-04-22,London bus,null
2020-04-23,London bus,null
2020-04-24,London bus,null
2020-04-25,London bus,null
2020-04-26,London bus,null
2020-04-27,London bus,null
2020-04-28,London bus,null
2020-04-29,London bus,null
2020-04-30,London bus,null
2020-05-01,London bus,null
2020-05-02,London bus,null
2020-05-03,London bus,null
2020-05-04,London bus,null
2020-05-05,London bus,null
2020-05-06,London bus,null
2020-05-07,London bus,null
2020-05-08,London bus,null
2020-05-09,London bus,null
2020-05-10,London bus,null
2020-05-11,London bus,null
2020-05-12,London bus,null
2020-05-13,London bus,null
2020-05-14,London bus,null
2020-05-15,London bus,null
2020-05-16,London bus,null
2020-05-17,London bus,null
2020-05-18,London bus,null
2020-05-19,London bus,null
2020-05-20,London bus,null
2020-05-21,London bus,null
2020-05-22,London bus,null
2020-05-23,London bus,null
2020-05-24,London bus,null
2020-05-25,London bus,null
2020-05-26,London bus,null
2020-05-27,London bus,null
2020-05-28,London bus,null
2020-05-29,London bus,null
2020-05-30,London bus,null
2020-05-31,London bus,null
2020-06-01,London bus,null
2020-06-02,London bus,null
2020-06-03,London bus,null
2020-06-04,London bus,null
2020-06-05,London bus,null
2020-06-06,London bus,null
2020-06-07,London bus,null
2020-06-08,London bus,null
2020-06-09,London bus,25
2020-06-10,London bus,25
2020-06-11,London bus,26
2020-06-12,London bus,26
2020-06-13,London bus,31
2020-06-14,London bus,30
2020-06-15,London bus,32
2020-06-16,London bus,31
2020-06-17,London bus,30
2020-06-18,London bus,29
2020-06-19,London bus,29
2020-06-20,London bus,36
2020-06-21,London bus,34
2020-06-22,London bus,34
2020-06-23,London bus,34
2020-06-24,London bus,34
2020-06-25,London bus,34
2020-06-26,London bus,35
2020-06-27,London bus,36
2020-06-28,London bus,36
2020-06-29,London bus,33
2020-06-30,London bus,32
2020-07-01,London bus,33
2020-07-02,London bus,33
2020-07-03,London bus,35
2020-07-04,London bus,39
2020-07-05,London bus,40
2020-07-06,London bus,37
2020-07-07,London bus,37
2020-07-08,London bus,36
2020-07-09,London bus,37
2020-07-10,London bus,39
2020-07-11,London bus,45
2020-07-12,London bus,45
2020-07-13,London bus,41
2020-07-14,London bus,40
2020-07-15,London bus,40
2020-07-16,London bus,42
2020-07-17,London bus,44
2020-07-18,London bus,50
2020-07-19,London bus,43
2020-07-20,London bus,45
2020-07-21,London bus,45
2020-07-22,London bus,46
2020-07-23,London bus,49
2020-07-24,London bus,49
2020-07-25,London bus,51
2020-07-26,London bus,50
2020-07-27,London bus,46
2020-07-28,London bus,50
2020-07-29,London bus,49
2020-07-30,London bus,49
2020-07-31,London bus,50
2020-08-01,London bus,54
2020-08-02,London bus,54
2020-08-03,London bus,51
2020-08-04,London bus,50
2020-08-05,London bus,51
2020-08-06,London bus,49
2020-08-07,London bus,50
2020-08-08,London bus,54
2020-08-09,London bus,51
2020-08-10,London bus,53
2020-08-11,London bus,49
2020-08-12,London bus,53
2020-08-13,London bus,48
2020-08-14,London bus,53
2020-08-15,London bus,54
2020-08-16,London bus,54
2020-08-17,London bus,53
2020-08-18,London bus,54
2020-08-19,London bus,51
2020-08-20,London bus,55
2020-08-21,London bus,54
2020-08-22,London bus,59
2020-08-23,London bus,58
2020-08-24,London bus,57
2020-08-25,London bus,56
2020-08-26,London bus,58
2020-08-27,London bus,53
2020-08-28,London bus,55
2020-08-29,London bus,61
2020-08-30,London bus,59
2020-08-31,London bus,69
2020-09-01,London bus,55
2020-09-02,London bus,52
2020-09-03,London bus,53
2020-09-04,London bus,56
2020-09-05,London bus,61
2020-09-06,London bus,58
2020-09-07,London bus,58
2020-09-08,London bus,58
2020-09-09,London bus,58
2020-09-10,London bus,58
2020-09-11,London bus,59
2020-09-12,London bus,59
2020-09-13,London bus,58
2020-09-14,London bus,58
2020-09-15,London bus,57
2020-09-16,London bus,58
2020-09-17,London bus,58
2020-09-18,London bus,59
2020-09-19,London bus,58
2020-09-20,London bus,61
2020-09-21,London bus,58
2020-09-22,London bus,59
2020-09-23,London bus,57
2020-09-24,London bus,57
2020-09-25,London bus,58
2020-09-26,London bus,57
2020-09-27,London bus,57
2020-09-28,London bus,57
2020-09-29,London bus,58
2020-09-30,London bus,57
2020-10-01,London bus,58
2020-10-02,London bus,55
2020-10-03,London bus,54
2020-10-04,London bus,52
2020-10-05,London bus,59
2020-10-06,London bus,58
2020-10-07,London bus,59
2020-10-08,London bus,57
2020-10-09,London bus,60
2020-10-10,London bus,61
2020-10-11,London bus,61
2020-10-12,London bus,59
2020-10-13,London bus,57
2020-10-14,London bus,59
2020-10-15,London bus,59
2020-10-16,London bus,60
2020-10-17,London bus,57
