Date,Measure,Value,Detail
2020-07-12,Cumulative deaths,41071,
2020-07-11,Cumulative deaths,41058,
2020-07-10,Cumulative deaths,41037,
2020-07-09,Cumulative deaths,41016,
2020-07-08,Cumulative deaths,40979,
2020-07-07,Cumulative deaths,40955,
2020-07-06,Cumulative deaths,40928,
2020-07-05,Cumulative deaths,40893,
2020-07-04,Cumulative deaths,40866,
2020-07-03,Cumulative deaths,40833,
2020-07-02,Cumulative deaths,40804,
2020-07-01,Cumulative deaths,40761,
2020-06-30,Cumulative deaths,40734,
2020-06-29,Cumulative deaths,40687,
2020-06-28,Cumulative deaths,40648,
2020-06-27,Cumulative deaths,40603,
2020-06-26,Cumulative deaths,40554,
2020-06-25,Cumulative deaths,40513,
2020-06-24,Cumulative deaths,40445,
2020-06-23,Cumulative deaths,40370,
2020-06-22,Cumulative deaths,40306,
2020-06-21,Cumulative deaths,40242,
2020-06-20,Cumulative deaths,40188,
2020-06-19,Cumulative deaths,40128,
2020-06-18,Cumulative deaths,40076,
2020-06-17,Cumulative deaths,40015,
2020-06-16,Cumulative deaths,39957,
2020-06-15,Cumulative deaths,39873,
2020-06-14,Cumulative deaths,39803,
2020-06-13,Cumulative deaths,39717,
2020-06-12,Cumulative deaths,39654,
2020-06-11,Cumulative deaths,39574,
2020-06-10,Cumulative deaths,39494,
2020-06-09,Cumulative deaths,39385,
2020-06-08,Cumulative deaths,39295,
2020-06-07,Cumulative deaths,39171,
2020-06-06,Cumulative deaths,39044,
2020-06-05,Cumulative deaths,38933,
2020-06-04,Cumulative deaths,38810,
2020-06-03,Cumulative deaths,38675,
2020-06-02,Cumulative deaths,38520,
2020-06-01,Cumulative deaths,38351,
2020-05-31,Cumulative deaths,38216,
2020-05-30,Cumulative deaths,38090,
2020-05-29,Cumulative deaths,37927,
2020-05-28,Cumulative deaths,37741,
2020-05-27,Cumulative deaths,37524,
2020-05-26,Cumulative deaths,37327,
2020-05-25,Cumulative deaths,37114,
2020-05-24,Cumulative deaths,36913,
2020-05-23,Cumulative deaths,36717,
2020-05-22,Cumulative deaths,36497,
2020-05-21,Cumulative deaths,36274,
2020-05-20,Cumulative deaths,36036,
2020-05-19,Cumulative deaths,35768,
2020-05-18,Cumulative deaths,35493,
2020-05-17,Cumulative deaths,35200,
2020-05-16,Cumulative deaths,34933,
2020-05-15,Cumulative deaths,34619,
2020-05-14,Cumulative deaths,34305,
2020-05-13,Cumulative deaths,33971,
2020-05-12,Cumulative deaths,33654,
2020-05-11,Cumulative deaths,33333,
2020-05-10,Cumulative deaths,33024,
2020-05-09,Cumulative deaths,32676,
2020-05-08,Cumulative deaths,32298,
2020-05-07,Cumulative deaths,31915,
2020-05-06,Cumulative deaths,31454,
2020-05-05,Cumulative deaths,30993,
2020-05-04,Cumulative deaths,30529,
2020-05-03,Cumulative deaths,30045,
2020-05-02,Cumulative deaths,29596,
2020-05-01,Cumulative deaths,29102,
2020-04-30,Cumulative deaths,28534,
2020-04-29,Cumulative deaths,27983,
2020-04-28,Cumulative deaths,27413,
2020-04-27,Cumulative deaths,26852,
2020-04-26,Cumulative deaths,26257,
2020-04-25,Cumulative deaths,25624,
2020-04-24,Cumulative deaths,24977,
2020-04-23,Cumulative deaths,24294,
2020-04-22,Cumulative deaths,23618,
2020-04-21,Cumulative deaths,22887,
2020-04-20,Cumulative deaths,22143,
2020-04-19,Cumulative deaths,21360,
2020-04-18,Cumulative deaths,20592,
2020-04-17,Cumulative deaths,19792,
2020-04-16,Cumulative deaths,18973,
2020-04-15,Cumulative deaths,18131,
2020-04-14,Cumulative deaths,17250,
2020-04-13,Cumulative deaths,16391,
2020-04-12,Cumulative deaths,15496,
2020-04-11,Cumulative deaths,14538,
2020-04-10,Cumulative deaths,13583,
2020-04-09,Cumulative deaths,12639,
2020-04-08,Cumulative deaths,11639,
2020-04-07,Cumulative deaths,10566,
2020-04-06,Cumulative deaths,9564,
2020-04-05,Cumulative deaths,8671,
2020-04-04,Cumulative deaths,7754,
2020-04-03,Cumulative deaths,6847,
2020-04-02,Cumulative deaths,6007,
2020-04-01,Cumulative deaths,5201,
2020-03-31,Cumulative deaths,4432,
2020-03-30,Cumulative deaths,3772,
2020-03-29,Cumulative deaths,3181,
2020-03-28,Cumulative deaths,2674,
2020-03-27,Cumulative deaths,2238,
2020-03-26,Cumulative deaths,1840,
2020-03-25,Cumulative deaths,1479,
2020-03-24,Cumulative deaths,1176,
2020-03-23,Cumulative deaths,939,
2020-03-22,Cumulative deaths,753,
2020-03-21,Cumulative deaths,588,
2020-03-20,Cumulative deaths,458,
2020-03-19,Cumulative deaths,349,
2020-03-18,Cumulative deaths,275,
2020-03-17,Cumulative deaths,207,
2020-03-16,Cumulative deaths,155,
2020-03-15,Cumulative deaths,108,
2020-03-14,Cumulative deaths,76,
2020-03-13,Cumulative deaths,54,
2020-03-12,Cumulative deaths,38,
2020-03-11,Cumulative deaths,25,
2020-03-10,Cumulative deaths,17,
2020-03-09,Cumulative deaths,14,
2020-03-08,Cumulative deaths,9,
2020-03-07,Cumulative deaths,6,
2020-03-06,Cumulative deaths,6,
2020-03-05,Cumulative deaths,6,
2020-03-04,Cumulative deaths,3,
2020-03-03,Cumulative deaths,3,
2020-03-02,Cumulative deaths,1,
2020-03-01,Cumulative deaths,null,
2020-02-29,Cumulative deaths,null,
2020-02-28,Cumulative deaths,null,
2020-02-27,Cumulative deaths,null,
2020-02-26,Cumulative deaths,null,
2020-02-25,Cumulative deaths,null,
2020-02-24,Cumulative deaths,null,
2020-02-23,Cumulative deaths,null,
2020-02-22,Cumulative deaths,null,
2020-02-21,Cumulative deaths,null,
2020-02-20,Cumulative deaths,null,
2020-02-19,Cumulative deaths,null,
2020-02-18,Cumulative deaths,null,
2020-02-17,Cumulative deaths,null,
2020-02-16,Cumulative deaths,null,
2020-02-15,Cumulative deaths,null,
2020-02-14,Cumulative deaths,null,
2020-02-13,Cumulative deaths,null,
2020-02-12,Cumulative deaths,null,
2020-02-11,Cumulative deaths,null,
2020-02-10,Cumulative deaths,null,
2020-02-09,Cumulative deaths,null,
2020-02-08,Cumulative deaths,null,
2020-02-07,Cumulative deaths,null,
2020-02-06,Cumulative deaths,null,
2020-02-05,Cumulative deaths,null,
2020-02-04,Cumulative deaths,null,
2020-02-03,Cumulative deaths,null,
2020-02-02,Cumulative deaths,null,
2020-02-01,Cumulative deaths,null,
2020-01-31,Cumulative deaths,null,
2020-01-30,Cumulative deaths,null,
