Date,Nation,Cumulative cases per 100k
2020-03-02,England,0.182139188
2020-03-01,England,0.114942206
2020-02-29,England,0.079575374
2020-02-28,England,0.070733665
2020-02-27,England,0.051281907
2020-02-26,England,0.038903516
2020-02-25,England,0.031830149
2020-02-24,England,0.022988441
2020-02-23,England,0.019451758
2020-02-22,England,0.017683416
2020-02-21,England,0.017683416
2020-02-20,England,0.015915075
2020-02-19,England,0.015915075
2020-02-18,England,0.015915075
2020-02-17,England,0.015915075
2020-02-16,England,0.015915075
2020-02-15,England,0.015915075
2020-02-14,England,0.015915075
2020-02-13,England,0.015915075
2020-02-12,England,0.015915075
2020-02-11,England,0.015915075
2020-02-10,England,0.014146733
2020-02-09,England,0.014146733
2020-02-08,England,0.012378391
2020-02-07,England,0.005305025
2020-02-06,England,0.005305025
2020-02-05,England,0.005305025
2020-02-04,England,0.003536683
2020-02-03,England,0.003536683
2020-02-02,England,0.003536683
2020-02-01,England,0.003536683
2020-01-31,England,0.003536683
2020-01-30,England,0.003536683
2022-01-09,Northern Ireland,24419.3
2022-01-08,Northern Ireland,24265.67371
2022-01-07,Northern Ireland,24107.56313
2022-01-06,Northern Ireland,23938.63752
2022-01-05,Northern Ireland,23718.64383
2022-01-04,Northern Ireland,23320.17563
2022-01-03,Northern Ireland,22842.62577
2022-01-02,Northern Ireland,22445.2127
2022-01-01,Northern Ireland,22067.74151
2021-12-31,Northern Ireland,21771.6205
2021-12-30,Northern Ireland,21335.37881
2021-12-29,Northern Ireland,20865.42586
2021-12-28,Northern Ireland,20412.09113
2021-12-27,Northern Ireland,19977.85418
2021-12-26,Northern Ireland,19594.57979
2021-12-25,Northern Ireland,19417.26593
2021-12-24,Northern Ireland,19279.88857
2021-12-23,Northern Ireland,19044.75383
2021-12-22,Northern Ireland,18811.78209
2021-12-21,Northern Ireland,18581.50092
2021-12-20,Northern Ireland,18385.40582
2021-12-19,Northern Ireland,18242.80559
2021-12-18,Northern Ireland,18131.70086
2021-12-17,Northern Ireland,18026.1883
2021-12-16,Northern Ireland,17928.16713
2021-12-15,Northern Ireland,17820.4388
2021-12-14,Northern Ireland,17702.47576
2021-12-13,Northern Ireland,17583.72137
2021-12-12,Northern Ireland,17480.89937
2021-12-11,Northern Ireland,17405.61616
2021-12-10,Northern Ireland,17328.96128
2021-12-09,Northern Ireland,17248.93001
2021-12-08,Northern Ireland,17156.76478
2021-12-07,Northern Ireland,17055.31445
2021-12-06,Northern Ireland,16958.61219
2021-12-05,Northern Ireland,16857.90045
2021-12-04,Northern Ireland,16777.60539
2021-12-03,Northern Ireland,16702.69147
2021-12-02,Northern Ireland,16617.54283
2021-12-01,Northern Ireland,16515.61769
2021-11-30,Northern Ireland,16409.10276
2021-11-29,Northern Ireland,16303.90674
2021-11-28,Northern Ireland,16197.33905
2021-11-27,Northern Ireland,16118.62667
2021-11-26,Northern Ireland,16046.08679
2021-11-25,Northern Ireland,15970.22326
2021-11-24,Northern Ireland,15884.54705
2021-11-23,Northern Ireland,15796.07477
2021-11-22,Northern Ireland,15700.21661
2021-11-21,Northern Ireland,15600.71826
2021-11-20,Northern Ireland,15524.43268
2021-11-19,Northern Ireland,15450.09908
2021-11-18,Northern Ireland,15361.67955
2021-11-17,Northern Ireland,15271.14977
2021-11-16,Northern Ireland,15180.19794
2021-11-15,Northern Ireland,15087.4524
2021-11-14,Northern Ireland,14988.27059
2021-11-13,Northern Ireland,14912.72359
2021-11-12,Northern Ireland,14841.81915
2021-11-11,Northern Ireland,14772.1281
2021-11-10,Northern Ireland,14691.78029
2021-11-09,Northern Ireland,14614.54509
2021-11-08,Northern Ireland,14530.34607
2021-11-07,Northern Ireland,14448.67934
2021-11-06,Northern Ireland,14396.50338
2021-11-05,Northern Ireland,14342.63922
2021-11-04,Northern Ireland,14285.60968
2021-11-03,Northern Ireland,14222.98797
2021-11-02,Northern Ireland,14159.89146
2021-11-01,Northern Ireland,14097.42802
2021-10-31,Northern Ireland,14030.74408
2021-10-30,Northern Ireland,13980.78388
2021-10-29,Northern Ireland,13929.18824
2021-10-28,Northern Ireland,13871.05082
2021-10-27,Northern Ireland,13809.1677
2021-10-26,Northern Ireland,13743.16959
2021-10-25,Northern Ireland,13674.42815
2021-10-24,Northern Ireland,13608.74658
2021-10-23,Northern Ireland,13553.88005
2021-10-22,Northern Ireland,13499.43557
2021-10-21,Northern Ireland,13442.40603
2021-10-20,Northern Ireland,13380.68118
2021-10-19,Northern Ireland,13305.60899
2021-10-18,Northern Ireland,13229.2179
2021-10-17,Northern Ireland,13152.87956
2021-10-16,Northern Ireland,13098.75161
2021-10-15,Northern Ireland,13045.3095
2021-10-14,Northern Ireland,12985.90593
2021-10-13,Northern Ireland,12918.9582
2021-10-12,Northern Ireland,12849.90023
2021-10-11,Northern Ireland,12775.30285
2021-10-10,Northern Ireland,12699.12278
2021-10-09,Northern Ireland,12638.98062
2021-10-08,Northern Ireland,12585.74953
2021-10-07,Northern Ireland,12521.17584
2021-10-06,Northern Ireland,12454.17536
2021-10-05,Northern Ireland,12387.43867
2021-10-04,Northern Ireland,12318.27518
2021-10-03,Northern Ireland,12246.52664
2021-10-02,Northern Ireland,12193.40107
2021-10-01,Northern Ireland,12144.9708
2021-09-30,Northern Ireland,12094.64131
2021-09-29,Northern Ireland,12042.04329
2021-09-28,Northern Ireland,11979.73813
2021-09-27,Northern Ireland,11920.22904
2021-09-26,Northern Ireland,11848.9553
2021-09-25,Northern Ireland,11801.47465
2021-09-24,Northern Ireland,11756.79008
2021-09-23,Northern Ireland,11705.61649
2021-09-22,Northern Ireland,11648.79797
2021-09-21,Northern Ireland,11590.76606
2021-09-20,Northern Ireland,11526.61442
2021-09-19,Northern Ireland,11459.35017
