date,series,value
2021-04-22,2021,76534
2021-04-23,2021,76446
2021-04-24,2021,76416
2021-04-25,2021,76306
2021-04-26,2021,76483
2021-04-27,2021,76749
2021-04-28,2021,77120
2021-04-29,2021,77317
2021-04-30,2021,77796
2021-05-01,2021,78207
2021-05-02,2021,78291
2021-05-03,2021,78088
2021-05-04,2021,78029
2021-05-05,2021,78169
2021-05-06,2021,77836
2021-05-07,2021,77673
2021-05-08,2021,77374
2021-05-09,2021,77205
2021-05-10,2021,77257
2021-05-11,2021,77114
2021-05-12,2021,76922
2021-05-13,2021,76563
2021-05-14,2021,76090
2021-05-15,2021,75720
2021-05-16,2021,75709
2021-05-17,2021,75723
2021-05-18,2021,75930
2021-05-19,2021,75867
2021-05-20,2021,76382
2021-05-21,2021,76859
2021-05-22,2021,77273
2021-05-23,2021,77555
2021-05-24,2021,77801
2021-05-25,2021,78043
2021-05-26,2021,78316
2021-05-27,2021,78569
2021-05-28,2021,78866
2021-05-29,2021,78960
2021-05-30,2021,78811
2021-05-31,2021,78638
2021-06-01,2021,78803
2021-06-02,2021,79226
2021-06-03,2021,79402
2021-06-04,2021,79631
2021-06-05,2021,80229
2021-06-06,2021,81069
2021-06-07,2021,81768
2021-06-08,2021,82113
2021-06-09,2021,82438
2021-06-10,2021,82905
2021-06-11,2021,83374
2021-06-12,2021,83596
2021-06-13,2021,83640
2021-06-14,2021,84074
2021-06-15,2021,84552
2021-06-16,2021,85018
2021-06-17,2021,85341
2021-06-18,2021,85597
2021-06-19,2021,85952
2021-06-20,2021,86397
2021-06-21,2021,86490
2021-06-22,2021,86698
2021-06-23,2021,86806
2021-06-24,2021,86823
2021-06-25,2021,86990
2021-06-26,2021,87119
2021-06-27,2021,87416
2021-06-28,2021,87910
2021-06-29,2021,88059
2021-06-30,2021,88250
2021-07-01,2021,88685
2021-07-02,2021,89153
2021-07-03,2021,89881
2021-07-04,2021,89916
2021-07-05,2021,89794
2021-07-06,2021,90094
2021-07-07,2021,90542
2021-07-08,2021,90858
2021-07-09,2021,91195
2021-07-10,2021,91670
2021-07-11,2021,92360
2021-07-12,2021,93039
2021-07-13,2021,93577
2021-07-14,2021,93874
2021-07-15,2021,94325
2021-07-16,2021,94516
2021-07-17,2021,94591
2021-07-18,2021,94940
2021-07-19,2021,95233
2021-07-20,2021,95196
2021-07-21,2021,95076
2021-07-22,2021,95203
2021-07-23,2021,95246
2021-07-24,2021,95118
2021-07-25,2021,94507
2021-07-26,2021,94068
2021-07-27,2021,94338
2021-07-28,2021,94601
2021-07-29,2021,94369
2021-07-30,2021,94294
2021-07-31,2021,94443
2021-08-01,2021,94918
2021-08-02,2021,94988
2021-08-03,2021,94346
2021-08-04,2021,93761
2021-08-05,2021,93060
2021-08-06,2021,92329
2021-08-07,2021,91555
2021-08-08,2021,90911
2021-08-09,2021,90352
2021-08-10,2021,90059
2021-08-11,2021,89724
2021-08-12,2021,89575
2021-08-13,2021,89521
2021-08-14,2021,89429
2021-08-15,2021,89429
2021-08-16,2021,89575
2021-08-17,2021,89398
2021-08-18,2021,89174
2021-08-19,2021,89041
2021-08-20,2021,89045
2021-08-21,2021,88967
2021-08-22,2021,88656
2021-08-23,2021,88605
2021-08-24,2021,88739
2021-08-25,2021,89123
2021-08-26,2021,89605
2021-08-27,2021,89941
2021-08-28,2021,90344
2021-08-29,2021,90820
2021-08-30,2021,91115
2021-08-31,2021,91538
2021-09-01,2021,91807
2021-09-02,2021,92093
2021-09-03,2021,92574
2021-09-04,2021,92806
2021-09-05,2021,92762
2021-09-06,2021,92592
2021-09-07,2021,92319
2021-09-08,2021,92564
2021-09-09,2021,92726
2021-09-10,2021,92929
2021-09-11,2021,92973
2021-09-12,2021,93470
2021-09-13,2021,93741
2021-09-14,2021,93953
2021-09-15,2021,93959
2021-09-16,2021,93958
2021-09-17,2021,93924
2021-09-18,2021,94046
2021-09-19,2021,94018
2021-09-20,2021,94097
2021-09-21,2021,94198
2021-09-22,2021,94235
2021-09-23,2021,94244
2021-09-24,2021,94118
2021-09-25,2021,93989
2021-09-26,2021,94137
2021-09-27,2021,94559
2021-09-28,2021,94846
2021-09-29,2021,95105
2021-09-30,2021,95499
2021-10-01,2021,95738
2021-10-02,2021,95526
2021-10-03,2021,95153
2021-10-04,2021,94909
2021-10-05,2021,94860
2021-10-06,2021,94754
2021-10-07,2021,94716
2021-10-08,2021,94433
2021-10-09,2021,94550
2021-10-10,2021,94742
2021-10-11,2021,94747
2021-10-12,2021,94715
2021-10-13,2021,94515
2021-10-14,2021,94451
2021-10-15,2021,94839
2021-10-16,2021,95155
2021-10-17,2021,95603
2021-10-18,2021,96144
2021-10-19,2021,96364
2021-10-20,2021,96680
2021-10-21,2021,96588
2021-10-22,2021,96444
2021-10-23,2021,96396
2021-10-24,2021,96144
2021-10-25,2021,95797
2021-10-26,2021,95656
2021-10-27,2021,95312
2021-10-28,2021,94952
2021-10-29,2021,94618
2021-10-30,2021,94108
2021-10-31,2021,93462
2021-11-01,2021,93063
2021-11-02,2021,92698
2021-11-03,2021,92694
2021-11-04,2021,92622
2021-11-05,2021,92443
2021-11-06,2021,91974
2021-11-07,2021,91717
2021-11-08,2021,91536
2021-11-09,2021,91215
2021-11-10,2021,90518
2021-11-11,2021,89727
