Month,National Loan,Current price
1928m6,Fourth,nul
1928m7,Fourth,nul
1928m8,Fourth,nul
1928m9,Fourth,nul
1928m10,Fourth,nul
1928m11,Fourth,nul
1928m12,Fourth,nul
1929m1,Fourth,nul
1929m2,Fourth,nul
1929m3,Fourth,nul
1929m4,Fourth,nul
1929m5,Fourth,nul
1929m6,Fourth,nul
1929m7,Fourth,nul
1929m8,Fourth,nul
1929m9,Fourth,nul
1929m10,Fourth,nul
1929m11,Fourth,nul
1929m12,Fourth,nul
1930m1,Fourth,nul
1930m2,Fourth,nul
1930m3,Fourth,nul
1930m4,Fourth,nul
1930m5,Fourth,nul
1930m6,Fourth,nul
1930m7,Fourth,nul
1930m8,Fourth,nul
1930m9,Fourth,nul
1930m10,Fourth,nul
1930m11,Fourth,nul
1930m12,Fourth,nul
1931m1,Fourth,nul
1931m2,Fourth,nul
1931m3,Fourth,nul
1931m4,Fourth,nul
1931m5,Fourth,nul
1931m6,Fourth,nul
1931m7,Fourth,nul
1931m8,Fourth,nul
1931m9,Fourth,nul
1931m10,Fourth,nul
1931m11,Fourth,nul
1931m12,Fourth,nul
1932m1,Fourth,nul
1932m2,Fourth,nul
1932m3,Fourth,nul
1932m4,Fourth,nul
1932m5,Fourth,nul
1932m6,Fourth,nul
1932m7,Fourth,nul
1932m8,Fourth,nul
1932m9,Fourth,nul
1932m10,Fourth,nul
1932m11,Fourth,nul
1932m12,Fourth,nul
1933m1,Fourth,nul
1933m2,Fourth,nul
1933m3,Fourth,nul
1933m4,Fourth,nul
1933m5,Fourth,nul
1933m6,Fourth,nul
1933m7,Fourth,nul
1933m8,Fourth,nul
1933m9,Fourth,nul
1933m10,Fourth,nul
1933m11,Fourth,nul
1933m12,Fourth,98
1934m1,Fourth,98.25
1934m2,Fourth,98.75
1934m3,Fourth,99
1934m4,Fourth,99
1934m5,Fourth,98.75
1934m6,Fourth,99
1934m7,Fourth,97
1934m8,Fourth,96.5
1934m9,Fourth,96.875
1934m10,Fourth,97.5
1934m11,Fourth,97.75
1934m12,Fourth,98
1935m1,Fourth,97.5
1935m2,Fourth,98
1935m3,Fourth,97.875
1935m4,Fourth,97.75
1935m5,Fourth,98
1935m6,Fourth,98
1935m7,Fourth,98
1935m8,Fourth,98
1935m9,Fourth,97.5
1935m10,Fourth,97.25
1935m11,Fourth,98
1935m12,Fourth,98.125
1936m1,Fourth,97.5
1936m2,Fourth,98.5
1936m3,Fourth,98.625
1936m4,Fourth,101
1936m5,Fourth,101.875
1936m6,Fourth,101.875
1936m7,Fourth,102.5
1936m8,Fourth,103.75
1936m9,Fourth,103.75
1936m10,Fourth,103.75
1936m11,Fourth,104
1936m12,Fourth,103.75
1937m1,Fourth,102.75
1937m2,Fourth,101.75
1937m3,Fourth,102
1937m4,Fourth,101.875
1937m5,Fourth,102
1937m6,Fourth,101.875
1937m7,Fourth,99.875
1937m8,Fourth,100
1937m9,Fourth,100
1937m10,Fourth,100.375
1937m11,Fourth,100.75
1937m12,Fourth,101.125
1938m1,Fourth,100.25
1938m2,Fourth,100.875
1938m3,Fourth,100.75
1938m4,Fourth,102.25
1938m5,Fourth,100.125
1938m6,Fourth,101
1938m7,Fourth,100
1938m8,Fourth,100.5
1938m9,Fourth,94.5
1938m10,Fourth,99
1938m11,Fourth,99
1938m12,Fourth,99
