date,metric,value
2018-12-01,Producer outputs,32
2019-01-01,Producer outputs,32
2019-02-01,Producer outputs,32
2019-03-01,Producer outputs,32
2019-04-01,Producer outputs,33
2019-05-01,Producer outputs,34
2019-06-01,Producer outputs,33
2019-07-01,Producer outputs,34
2019-08-01,Producer outputs,34
2019-09-01,Producer outputs,34
2019-10-01,Producer outputs,33
2019-11-01,Producer outputs,33
2019-12-01,Producer outputs,33
2020-01-01,Producer outputs,33
2020-02-01,Producer outputs,33
2020-03-01,Producer outputs,32
2020-04-01,Producer outputs,31
2020-05-01,Producer outputs,31
2020-06-01,Producer outputs,31
2020-07-01,Producer outputs,32
2020-08-01,Producer outputs,31
2020-09-01,Producer outputs,31
2020-10-01,Producer outputs,31
2020-11-01,Producer outputs,32
2020-12-01,Producer outputs,32
2021-01-01,Producer outputs,33
2021-02-01,Producer outputs,34
2021-03-01,Producer outputs,35
2021-04-01,Producer outputs,35
2021-05-01,Producer outputs,36
2021-06-01,Producer outputs,37
2021-07-01,Producer outputs,39
2021-08-01,Producer outputs,40
2021-09-01,Producer outputs,41
2021-10-01,Producer outputs,43
2021-11-01,Producer outputs,44
2021-12-01,Producer outputs,45
2022-01-01,Producer outputs,47
2022-02-01,Producer outputs,48
2022-03-01,Producer outputs,51
2007-01-01,Services outputs,0
2007-02-01,Services outputs,0
2007-03-01,Services outputs,0
2007-04-01,Services outputs,2
2007-05-01,Services outputs,2
2007-06-01,Services outputs,2
2007-07-01,Services outputs,2
2007-08-01,Services outputs,2
2007-09-01,Services outputs,2
2007-10-01,Services outputs,2
2007-11-01,Services outputs,2
2007-12-01,Services outputs,2
2008-01-01,Services outputs,4
2008-02-01,Services outputs,4
2008-03-01,Services outputs,4
2008-04-01,Services outputs,5
2008-05-01,Services outputs,5
2008-06-01,Services outputs,5
2008-07-01,Services outputs,6
2008-08-01,Services outputs,6
2008-09-01,Services outputs,6
2008-10-01,Services outputs,5
2008-11-01,Services outputs,5
2008-12-01,Services outputs,5
2009-01-01,Services outputs,3
2009-02-01,Services outputs,3
2009-03-01,Services outputs,3
2009-04-01,Services outputs,4
2009-05-01,Services outputs,4
2009-06-01,Services outputs,4
2009-07-01,Services outputs,3
2009-08-01,Services outputs,3
2009-09-01,Services outputs,3
2009-10-01,Services outputs,4
2009-11-01,Services outputs,4
2009-12-01,Services outputs,4
2010-01-01,Services outputs,4
2010-02-01,Services outputs,4
2010-03-01,Services outputs,4
2010-04-01,Services outputs,5
2010-05-01,Services outputs,5
2010-06-01,Services outputs,5
2010-07-01,Services outputs,5
2010-08-01,Services outputs,5
2010-09-01,Services outputs,5
2010-10-01,Services outputs,5
2010-11-01,Services outputs,5
2010-12-01,Services outputs,5
2011-01-01,Services outputs,5
2011-02-01,Services outputs,5
2011-03-01,Services outputs,5
2011-04-01,Services outputs,6
2011-05-01,Services outputs,6
2011-06-01,Services outputs,6
2011-07-01,Services outputs,6
2011-08-01,Services outputs,6
2011-09-01,Services outputs,6
2011-10-01,Services outputs,6
2011-11-01,Services outputs,6
2011-12-01,Services outputs,6
2012-01-01,Services outputs,5
2012-02-01,Services outputs,5
2012-03-01,Services outputs,5
2012-04-01,Services outputs,6
2012-05-01,Services outputs,6
2012-06-01,Services outputs,6
2012-07-01,Services outputs,6
2012-08-01,Services outputs,6
2012-09-01,Services outputs,6
2012-10-01,Services outputs,7
2012-11-01,Services outputs,7
2012-12-01,Services outputs,7
2013-01-01,Services outputs,7
2013-02-01,Services outputs,7
2013-03-01,Services outputs,7
2013-04-01,Services outputs,7
2013-05-01,Services outputs,7
2013-06-01,Services outputs,7
2013-07-01,Services outputs,7
2013-08-01,Services outputs,7
2013-09-01,Services outputs,7
2013-10-01,Services outputs,8
2013-11-01,Services outputs,8
2013-12-01,Services outputs,8
2014-01-01,Services outputs,9
2014-02-01,Services outputs,9
2014-03-01,Services outputs,9
2014-04-01,Services outputs,9
2014-05-01,Services outputs,9
2014-06-01,Services outputs,9
2014-07-01,Services outputs,9
2014-08-01,Services outputs,9
2014-09-01,Services outputs,9
2014-10-01,Services outputs,9
2014-11-01,Services outputs,9
2014-12-01,Services outputs,9
2015-01-01,Services outputs,9
2015-02-01,Services outputs,9
2015-03-01,Services outputs,9
2015-04-01,Services outputs,10
2015-05-01,Services outputs,10
2015-06-01,Services outputs,10
2015-07-01,Services outputs,10
2015-08-01,Services outputs,10
2015-09-01,Services outputs,10
2015-10-01,Services outputs,10
2015-11-01,Services outputs,10
2015-12-01,Services outputs,10
2016-01-01,Services outputs,11
2016-02-01,Services outputs,11
2016-03-01,Services outputs,11
2016-04-01,Services outputs,12
2016-05-01,Services outputs,12
2016-06-01,Services outputs,12
2016-07-01,Services outputs,12
2016-08-01,Services outputs,12
2016-09-01,Services outputs,12
2016-10-01,Services outputs,12
2016-11-01,Services outputs,12
2016-12-01,Services outputs,12
2017-01-01,Services outputs,13
2017-02-01,Services outputs,13
2017-03-01,Services outputs,13
2017-04-01,Services outputs,13
2017-05-01,Services outputs,13
2017-06-01,Services outputs,13
2017-07-01,Services outputs,14
2017-08-01,Services outputs,14
2017-09-01,Services outputs,14
2017-10-01,Services outputs,14
2017-11-01,Services outputs,14
2017-12-01,Services outputs,14
2018-01-01,Services outputs,15
2018-02-01,Services outputs,15
2018-03-01,Services outputs,15
2018-04-01,Services outputs,15
2018-05-01,Services outputs,15
2018-06-01,Services outputs,15
2018-07-01,Services outputs,16
2018-08-01,Services outputs,16
2018-09-01,Services outputs,16
2018-10-01,Services outputs,16
2018-11-01,Services outputs,16
2018-12-01,Services outputs,16
2019-01-01,Services outputs,17
2019-02-01,Services outputs,17
2019-03-01,Services outputs,17
2019-04-01,Services outputs,17
2019-05-01,Services outputs,17
2019-06-01,Services outputs,17
2019-07-01,Services outputs,18
2019-08-01,Services outputs,18
2019-09-01,Services outputs,18
2019-10-01,Services outputs,18
2019-11-01,Services outputs,18
2019-12-01,Services outputs,18
2020-01-01,Services outputs,18
2020-02-01,Services outputs,18
2020-03-01,Services outputs,18
2020-04-01,Services outputs,18
2020-05-01,Services outputs,18
2020-06-01,Services outputs,18
2020-07-01,Services outputs,18
2020-08-01,Services outputs,18
2020-09-01,Services outputs,18
2020-10-01,Services outputs,19
2020-11-01,Services outputs,19
2020-12-01,Services outputs,19
2021-01-01,Services outputs,20
2021-02-01,Services outputs,20
2021-03-01,Services outputs,20
2021-04-01,Services outputs,20
2021-05-01,Services outputs,20
2021-06-01,Services outputs,20
2021-07-01,Services outputs,22
2021-08-01,Services outputs,22
2021-09-01,Services outputs,22
2021-10-01,Services outputs,23
2021-11-01,Services outputs,23
2021-12-01,Services outputs,23
2022-01-01,Services outputs,25
2022-02-01,Services outputs,25
2022-03-01,Services outputs,25
