Date,Transport type,Percentage
16/09/2020,London underground,36
17/09/2020,London underground,35
18/09/2020,London underground,36
19/09/2020,London underground,42
20/09/2020,London underground,40
21/09/2020,London underground,35
22/09/2020,London underground,35
23/09/2020,London underground,34
24/09/2020,London underground,34
25/09/2020,London underground,36
26/09/2020,London underground,42
27/09/2020,London underground,41
28/09/2020,London underground,34
29/09/2020,London underground,34
30/09/2020,London underground,34
01/10/2020,London underground,34
02/10/2020,London underground,34
03/10/2020,London underground,39
04/10/2020,London underground,37
05/10/2020,London underground,33
06/10/2020,London underground,34
07/10/2020,London underground,35
08/10/2020,London underground,34
09/10/2020,London underground,36
10/10/2020,London underground,43
11/10/2020,London underground,41
12/10/2020,London underground,33
13/10/2020,London underground,34
14/10/2020,London underground,35
15/10/2020,London underground,36
16/10/2020,London underground,38
17/10/2020,London underground,37
18/10/2020,London underground,39
19/10/2020,London underground,32
20/10/2020,London underground,32
21/10/2020,London underground,32
22/10/2020,London underground,33
23/10/2020,London underground,34
24/10/2020,London underground,37
25/10/2020,London underground,41
26/10/2020,London underground,33
27/10/2020,London underground,33
28/10/2020,London underground,34
29/10/2020,London underground,34
30/10/2020,London underground,36
31/10/2020,London underground,39
01/11/2020,London underground,40
02/11/2020,London underground,37
03/11/2020,London underground,40
04/11/2020,London underground,43
05/11/2020,London underground,23
06/11/2020,London underground,22
07/11/2020,London underground,17
08/11/2020,London underground,16
09/11/2020,London underground,23
10/11/2020,London underground,23
11/11/2020,London underground,23
12/11/2020,London underground,22
13/11/2020,London underground,23
14/11/2020,London underground,18
15/11/2020,London underground,19
16/11/2020,London underground,24
17/11/2020,London underground,24
18/11/2020,London underground,23
19/11/2020,London underground,23
20/11/2020,London underground,23
21/11/2020,London underground,18
22/11/2020,London underground,19
23/11/2020,London underground,24
24/11/2020,London underground,24
25/11/2020,London underground,23
26/11/2020,London underground,23
27/11/2020,London underground,23
28/11/2020,London underground,19
29/11/2020,London underground,19
30/11/2020,London underground,25
01/12/2020,London underground,25
02/12/2020,London underground,30
03/12/2020,London underground,31
04/12/2020,London underground,34
05/12/2020,London underground,40
06/12/2020,London underground,38
07/12/2020,London underground,32
08/12/2020,London underground,33
09/12/2020,London underground,34
10/12/2020,London underground,34
11/12/2020,London underground,36
12/12/2020,London underground,43
13/12/2020,London underground,37
14/12/2020,London underground,35
15/12/2020,London underground,38
16/12/2020,London underground,29
17/12/2020,London underground,29
18/12/2020,London underground,29
19/12/2020,London underground,32
20/12/2020,London underground,19
21/12/2020,London underground,22
22/12/2020,London underground,21
23/12/2020,London underground,20
24/12/2020,London underground,22
25/12/2020,London underground,
26/12/2020,London underground,9
27/12/2020,London underground,14
28/12/2020,London underground,25
29/12/2020,London underground,17
30/12/2020,London underground,18
31/12/2020,London underground,17
01/01/2021,London underground,12
02/01/2021,London underground,15
03/01/2021,London underground,19
