Date,Year,Value,Detail
21-09,2020,69378,
22-09,2020,69404,
23-09,2020,69428,
24-09,2020,69541,
25-09,2020,69575,
26-09,2020,69513,
27-09,2020,69504,
28-09,2020,68806,
29-09,2020,67865,
30-09,2020,67825,
01-10,2020,67837,
02-10,2020,67776,
03-10,2020,67660,
04-10,2020,67431,
05-10,2020,68009,
06-10,2020,68763,
07-10,2020,68571,
08-10,2020,68549,
09-10,2020,68596,
10-10,2020,68643,
11-10,2020,68694,
12-10,2020,68727,
13-10,2020,68674,
14-10,2020,68763,
15-10,2020,68650,
16-10,2020,68687,
17-10,2020,68714,
18-10,2020,68820,
19-10,2020,68754,
20-10,2020,68572,
21-10,2020,68172,
22-10,2020,67978,
23-10,2020,67720,
24-10,2020,67468,
25-10,2020,67106,
26-10,2020,66965,
27-10,2020,66999,
28-10,2020,67058,
29-10,2020,66949,
30-10,2020,67071,
31-10,2020,66972,
01-11,2020,66936,
02-11,2020,67058,
03-11,2020,67328,
04-11,2020,67707,
05-11,2020,68031,
06-11,2020,68100,
07-11,2020,68110,
08-11,2020,68200,
09-11,2020,68019,
10-11,2020,67654,
11-11,2020,67163,
12-11,2020,66855,
13-11,2020,66624,
14-11,2020,66582,
15-11,2020,66515,
16-11,2020,66825,
17-11,2020,67082,
18-11,2020,67413,
19-11,2020,67470,
20-11,2020,67844,
21-11,2020,68428,
22-11,2020,68829,
23-11,2020,68922,
24-11,2020,69478,
25-11,2020,69935,
26-11,2020,68485,
27-11,2020,67027,
28-11,2020,66752,
29-11,2020,66856,
30-11,2020,66934,
01-12,2020,67050,
02-12,2020,67000,
03-12,2020,68761,
04-12,2020,70203,
05-12,2020,70232,
06-12,2020,69937,
07-12,2020,69712,
08-12,2020,69293,
09-12,2020,69287,
10-12,2020,69369,
11-12,2020,69331,
12-12,2020,69305,
13-12,2020,69373,
14-12,2020,69630,
15-12,2020,69957,
16-12,2020,69970,
17-12,2020,70467,
18-12,2020,71713,
19-12,2020,73470,
20-12,2020,74882,
21-12,2020,75547,
22-12,2020,76392,
23-12,2020,77428,
24-12,2020,76280,
25-12,2020,72310,
26-12,2020,70896,
27-12,2020,70461,
28-12,2020,70028,
29-12,2020,69488,
30-12,2020,69117,
31-12,2020,68899,
01-01,2021,68909,
02-01,2021,69069,
03-01,2021,69390,
04-01,2021,69661,
05-01,2021,69282,
06-01,2021,68228,
07-01,2021,68545,
08-01,2021,70684,
09-01,2021,70113,
10-01,2021,68777,
11-01,2021,67768,
12-01,2021,67049,
13-01,2021,66773,
14-01,2021,66752,
15-01,2021,66700,
16-01,2021,66405,
17-01,2021,65930,
18-01,2021,65669,
19-01,2021,65366,
20-01,2021,65070,
21-01,2021,64695,
22-01,2021,64362,
23-01,2021,63774,
24-01,2021,63257,
25-01,2021,62728,
26-01,2021,62243,
27-01,2021,62042,
28-01,2021,61684,
29-01,2021,61373,
30-01,2021,61281,
31-01,2021,61047,
01-02,2021,60576,
02-02,2021,60294,
03-02,2021,60143,
04-02,2021,60165,
05-02,2021,60362,
06-02,2021,60598,
07-02,2021,60681,
08-02,2021,61273,
09-02,2021,61689,
10-02,2021,61808,
11-02,2021,61371,
12-02,2021,60710,
13-02,2021,60068,
14-02,2021,59486,
15-02,2021,58712,
16-02,2021,58336,
17-02,2021,58457,
18-02,2021,58871,
19-02,2021,59714,
20-02,2021,61046,
21-02,2021,62577,
22-02,2021,64040,
23-02,2021,65251,
24-02,2021,65808,
25-02,2021,66939,
26-02,2021,67702,
27-02,2021,67866,
28-02,2021,68112,
01-03,2021,68679,
02-03,2021,69072,
03-03,2021,69549,
04-03,2021,69928,
05-03,2021,70474,
06-03,2021,70951,
07-03,2021,71319,
08-03,2021,71632,
09-03,2021,71981,
10-03,2021,72230,
11-03,2021,72336,
12-03,2021,72636,
13-03,2021,72918,
14-03,2021,73161,
15-03,2021,73028,
16-03,2021,73250,
17-03,2021,73555,
18-03,2021,73794,
19-03,2021,74007,
20-03,2021,74275,
21-03,2021,74672,
22-03,2021,75168,
23-03,2021,75391,
24-03,2021,75702,
25-03,2021,76095,
26-03,2021,76207,
27-03,2021,76472,
28-03,2021,76660,
29-03,2021,76925,
30-03,2021,77304,
31-03,2021,77712,
01-04,2021,78173,
02-04,2021,78087,
03-04,2021,78130,
04-04,2021,77864,
05-04,2021,78163,
06-04,2021,78445,
07-04,2021,78504,
08-04,2021,78425,
09-04,2021,78796,
10-04,2021,78932,
11-04,2021,79368,
12-04,2021,79360,
13-04,2021,79341,
14-04,2021,79045,
15-04,2021,78681,
16-04,2021,78321,
17-04,2021,77938,
18-04,2021,77735,
19-04,2021,77288,
20-04,2021,null,
21-04,2021,null,
22-04,2021,null,
23-04,2021,null,
24-04,2021,null,
25-04,2021,null,
26-04,2021,null,
27-04,2021,null,
28-04,2021,null,
29-04,2021,null,
30-04,2021,null,
01-05,2021,null,
02-05,2021,null,
03-05,2021,null,
04-05,2021,null,
05-05,2021,null,
06-05,2021,null,
07-05,2021,null,
08-05,2021,null,
09-05,2021,null,
10-05,2021,null,
11-05,2021,null,
12-05,2021,null,
13-05,2021,null,
14-05,2021,null,
15-05,2021,null,
16-05,2021,null,
17-05,2021,null,
18-05,2021,null,
19-05,2021,null,
20-05,2021,null,
21-05,2021,null,
22-05,2021,null,
23-05,2021,null,
24-05,2021,null,
25-05,2021,null,
26-05,2021,null,
27-05,2021,null,
28-05,2021,null,
29-05,2021,null,
30-05,2021,null,
31-05,2021,null,
01-06,2021,null,
02-06,2021,null,
03-06,2021,null,
04-06,2021,null,
05-06,2021,null,
06-06,2021,null,
07-06,2021,null,
08-06,2021,null,
09-06,2021,null,
10-06,2021,null,
11-06,2021,null,
12-06,2021,null,
13-06,2021,null,
14-06,2021,null,
15-06,2021,null,
16-06,2021,null,
17-06,2021,null,
18-06,2021,null,
19-06,2021,null,
20-06,2021,null,
21-06,2021,null,
22-06,2021,null,
23-06,2021,null,
24-06,2021,null,
25-06,2021,null,
26-06,2021,null,
27-06,2021,null,
28-06,2021,null,
29-06,2021,null,
30-06,2021,null,
01-07,2021,null,
02-07,2021,null,
03-07,2021,null,
04-07,2021,null,
05-07,2021,null,
06-07,2021,null,
07-07,2021,null,
08-07,2021,null,
09-07,2021,null,
10-07,2021,null,
11-07,2021,null,
12-07,2021,null,
13-07,2021,null,
14-07,2021,null,
15-07,2021,null,
16-07,2021,null,
17-07,2021,null,
18-07,2021,null,
19-07,2021,null,
20-07,2021,null,
21-07,2021,null,
22-07,2021,null,
23-07,2021,null,
24-07,2021,null,
25-07,2021,null,
26-07,2021,null,
27-07,2021,null,
28-07,2021,null,
29-07,2021,null,
30-07,2021,null,
31-07,2021,null,
01-08,2021,null,
02-08,2021,null,
03-08,2021,null,
04-08,2021,null,
05-08,2021,null,
06-08,2021,null,
07-08,2021,null,
08-08,2021,null,
09-08,2021,null,
10-08,2021,null,
11-08,2021,null,
12-08,2021,null,
13-08,2021,null,
14-08,2021,null,
15-08,2021,null,
16-08,2021,null,
17-08,2021,null,
18-08,2021,null,
19-08,2021,null,
20-08,2021,null,
21-08,2021,null,
22-08,2021,null,
23-08,2021,null,
24-08,2021,null,
25-08,2021,null,
26-08,2021,null,
27-08,2021,null,
28-08,2021,null,
29-08,2021,null,
30-08,2021,null,
31-08,2021,null,
01-09,2021,null,
02-09,2021,null,
03-09,2021,null,
04-09,2021,null,
05-09,2021,null,
06-09,2021,null,
07-09,2021,null,
08-09,2021,null,
09-09,2021,null,
10-09,2021,null,
11-09,2021,null,
12-09,2021,null,
13-09,2021,null,
14-09,2021,null,
15-09,2021,null,
16-09,2021,null,
17-09,2021,null,
18-09,2021,null,
19-09,2021,null,
20-09,2021,null,
21-09,2021,null,
22-09,2021,null,
23-09,2021,null,
24-09,2021,null,
25-09,2021,null,
26-09,2021,null,
27-09,2021,null,
28-09,2021,null,
29-09,2021,null,
30-09,2021,null,
01-10,2021,null,
02-10,2021,null,
03-10,2021,null,
04-10,2021,null,
05-10,2021,null,
06-10,2021,null,
07-10,2021,null,
08-10,2021,null,
09-10,2021,null,
10-10,2021,null,
11-10,2021,null,
12-10,2021,null,
13-10,2021,null,
14-10,2021,null,
15-10,2021,null,
16-10,2021,null,
17-10,2021,null,
18-10,2021,null,
19-10,2021,null,
20-10,2021,null,
21-10,2021,null,
22-10,2021,null,
23-10,2021,null,
24-10,2021,null,
25-10,2021,null,
26-10,2021,null,
27-10,2021,null,
28-10,2021,null,
29-10,2021,null,
30-10,2021,null,
31-10,2021,null,
01-11,2021,null,
02-11,2021,null,
03-11,2021,null,
04-11,2021,null,
