Week,Central bank,Balance sheet (% of 2019 GDP)
2017-09-29,Federal Reserve,20.78856911
2017-10-06,Federal Reserve,20.81078229
2017-10-13,Federal Reserve,20.80608397
2017-10-20,Federal Reserve,20.85417753
2017-10-27,Federal Reserve,20.81402492
2017-11-03,Federal Reserve,20.78962355
2017-11-10,Federal Reserve,20.80205752
2017-11-17,Federal Reserve,20.75417392
2017-11-24,Federal Reserve,20.76502623
2017-12-01,Federal Reserve,20.70893108
2017-12-08,Federal Reserve,20.70219387
2017-12-15,Federal Reserve,20.77487542
2017-12-22,Federal Reserve,20.75035275
2017-12-29,Federal Reserve,20.75599819
2018-01-05,Federal Reserve,20.73284722
2018-01-12,Federal Reserve,20.74378351
2018-01-19,Federal Reserve,20.71151118
2018-01-26,Federal Reserve,20.72164498
2018-02-02,Federal Reserve,20.61857137
2018-02-09,Federal Reserve,20.62566316
2018-02-16,Federal Reserve,20.69153286
2018-02-23,Federal Reserve,20.5832757
2018-03-02,Federal Reserve,20.49808554
2018-03-09,Federal Reserve,20.51066414
2018-03-16,Federal Reserve,20.5627375
2018-03-23,Federal Reserve,20.53457562
2018-03-30,Federal Reserve,20.49247276
2018-04-06,Federal Reserve,20.46404027
2018-04-13,Federal Reserve,20.45274939
2018-04-20,Federal Reserve,20.46310247
2018-04-27,Federal Reserve,20.40236967
2018-05-04,Federal Reserve,20.32418732
2018-05-11,Federal Reserve,20.33388254
2018-05-18,Federal Reserve,20.23777942
2018-05-25,Federal Reserve,20.2363424
2018-06-01,Federal Reserve,20.19070298
2018-06-08,Federal Reserve,20.15184742
2018-06-15,Federal Reserve,20.17851162
2018-06-22,Federal Reserve,20.13647409
2018-06-29,Federal Reserve,20.08792797
2018-07-06,Federal Reserve,20.01455124
2018-07-13,Federal Reserve,20.02125578
2018-07-20,Federal Reserve,20.02318736
2018-07-27,Federal Reserve,19.95817615
2018-08-03,Federal Reserve,19.85540114
2018-08-10,Federal Reserve,19.8664914
2018-08-17,Federal Reserve,19.7306929
2018-08-24,Federal Reserve,19.73019834
2018-08-31,Federal Reserve,19.68398971
2018-09-07,Federal Reserve,19.63538293
2018-09-14,Federal Reserve,19.64618859
2018-09-21,Federal Reserve,19.63334404
2018-09-28,Federal Reserve,19.5626594
2018-10-05,Federal Reserve,19.47772118
2018-10-12,Federal Reserve,19.48799495
2018-10-19,Federal Reserve,19.48118309
2018-10-26,Federal Reserve,19.4700975
2018-11-02,Federal Reserve,19.31454929
2018-11-09,Federal Reserve,19.32483705
2018-11-16,Federal Reserve,19.34329438
2018-11-23,Federal Reserve,19.15809594
2018-11-30,Federal Reserve,19.11597442
2018-12-07,Federal Reserve,19.06406436
2018-12-14,Federal Reserve,19.0746554
2018-12-21,Federal Reserve,19.05580616
2018-12-28,Federal Reserve,19.01550425
2019-01-04,Federal Reserve,18.9349844
2019-01-11,Federal Reserve,18.92651624
2019-01-18,Federal Reserve,18.89610085
2019-01-25,Federal Reserve,18.88214121
2019-02-01,Federal Reserve,18.84773669
2019-02-08,Federal Reserve,18.78555286
2019-02-15,Federal Reserve,18.79526209
2019-02-22,Federal Reserve,18.57592506
2019-03-01,Federal Reserve,18.54405865
2019-03-08,Federal Reserve,18.51860285
2019-03-15,Federal Reserve,18.52991705
2019-03-22,Federal Reserve,18.48880798
2019-03-29,Federal Reserve,18.45553721
2019-04-05,Federal Reserve,18.36172026
2019-04-12,Federal Reserve,18.36766896
2019-04-19,Federal Reserve,18.34454132
2019-04-26,Federal Reserve,18.32795959
2019-05-03,Federal Reserve,18.14794936
2019-05-10,Federal Reserve,18.15973013
2019-05-17,Federal Reserve,18.03157863
2019-05-24,Federal Reserve,18.01145101
2019-05-31,Federal Reserve,17.96950212
2019-06-07,Federal Reserve,17.9517773
2019-06-14,Federal Reserve,17.96255496
2019-06-21,Federal Reserve,17.93484565
2019-06-28,Federal Reserve,17.85460108
2019-07-05,Federal Reserve,17.79105954
2019-07-12,Federal Reserve,17.79964435
2019-07-19,Federal Reserve,17.7673207
2019-07-26,Federal Reserve,17.74551344
2019-08-02,Federal Reserve,17.63197943
2019-08-09,Federal Reserve,17.64336829
2019-08-16,Federal Reserve,17.66424709
2019-08-23,Federal Reserve,17.56555919
2019-08-30,Federal Reserve,17.54260418
2019-09-06,Federal Reserve,17.54989193
2019-09-13,Federal Reserve,17.58798699
2019-09-20,Federal Reserve,17.93801362
2019-09-27,Federal Reserve,17.99876043
2019-10-04,Federal Reserve,18.40987913
2019-10-11,Federal Reserve,18.42912028
2019-10-18,Federal Reserve,18.50617821
2019-10-25,Federal Reserve,18.51657795
2019-11-01,Federal Reserve,18.75510014
2019-11-08,Federal Reserve,18.84664026
2019-11-15,Federal Reserve,18.88601371
2019-11-22,Federal Reserve,18.80374424
2019-11-29,Federal Reserve,18.90930931
2019-12-06,Federal Reserve,18.96912765
2019-12-13,Federal Reserve,19.10814079
2019-12-20,Federal Reserve,19.30205
2019-12-27,Federal Reserve,19.43520308
2020-01-03,Federal Reserve,19.47269161
2020-01-10,Federal Reserve,19.36033334
2020-01-17,Federal Reserve,19.48306802
2020-01-24,Federal Reserve,19.34338769
2020-01-31,Federal Reserve,19.3700659
2020-02-07,Federal Reserve,19.44040995
2020-02-14,Federal Reserve,19.51497642
2020-02-21,Federal Reserve,19.46309902
2020-02-28,Federal Reserve,19.40275813
2020-03-06,Federal Reserve,19.78940081
2020-03-13,Federal Reserve,20.11788146
2020-03-20,Federal Reserve,21.78025837
2020-03-27,Federal Reserve,24.51463909
2020-04-03,Federal Reserve,27.11494294
2020-04-10,Federal Reserve,28.38182642
2020-04-17,Federal Reserve,29.71035252
2020-04-24,Federal Reserve,30.66797317
2020-05-01,Federal Reserve,31.0542566
2020-05-08,Federal Reserve,31.3598149
2020-05-15,Federal Reserve,32.35269856
2020-05-22,Federal Reserve,32.83340548
2020-05-29,Federal Reserve,33.11361528
2020-06-05,Federal Reserve,33.4304178
2020-06-12,Federal Reserve,33.44776937
2020-06-19,Federal Reserve,33.10136328
2020-06-26,Federal Reserve,33.04356516
2020-07-03,Federal Reserve,32.70175008
2020-07-10,Federal Reserve,32.28966092
2020-07-17,Federal Reserve,32.46643319
2020-07-24,Federal Reserve,32.49513162
2020-07-31,Federal Reserve,32.42177356
2020-08-07,Federal Reserve,32.4040674
2020-08-14,Federal Reserve,32.46024187
2020-08-21,Federal Reserve,32.70920113
2020-08-28,Federal Reserve,32.61486628
2020-09-04,Federal Reserve,32.74118418
2020-09-11,Federal Reserve,32.70909382
2020-09-18,Federal Reserve,32.96039056
2020-09-25,Federal Reserve,33.09422949
2020-10-02,Federal Reserve,32.92145102
2020-10-09,Federal Reserve,33.00785892
2020-10-16,Federal Reserve,33.36607378
2020-10-23,Federal Reserve,33.48662959
2020-10-30,Federal Reserve,33.34218563
2020-11-06,Federal Reserve,33.39431498
2020-11-13,Federal Reserve,33.47800746
2020-11-20,Federal Reserve,33.79369956
2020-11-27,Federal Reserve,33.66959318
2020-12-04,Federal Reserve,33.69727917
2020-12-11,Federal Reserve,33.79173065
2020-12-18,Federal Reserve,34.35130111
2020-12-25,Federal Reserve,34.54467844
2021-01-01,Federal Reserve,34.35484234
2021-01-08,Federal Reserve,34.22167526
2021-01-15,Federal Reserve,34.21775145
2021-01-22,Federal Reserve,34.59554805
2021-01-29,Federal Reserve,34.54881687
2005-01-07,ECB,7.312927647
2005-01-14,ECB,7.374945946
2005-01-21,ECB,7.501527229
2005-01-28,ECB,7.489925479
2005-02-04,ECB,7.529183925
2005-02-11,ECB,7.509370547
2005-02-18,ECB,7.536432926
2005-02-25,ECB,7.649529058
2005-03-04,ECB,7.591595646
2005-03-11,ECB,7.578595994
2005-03-18,ECB,7.63957633
2005-03-25,ECB,7.754873949
2005-04-01,ECB,7.760900831
2005-04-08,ECB,7.761645821
2005-04-15,ECB,7.719415787
2005-04-22,ECB,7.822751717
2005-04-29,ECB,7.822215994
2005-05-06,ECB,7.760557634
2005-05-13,ECB,7.725643566
2005-05-20,ECB,7.783083109
2005-05-27,ECB,7.766149242
2005-06-03,ECB,7.869686068
2005-06-10,ECB,7.851396153
2005-06-17,ECB,7.87545346
2005-06-24,ECB,8.101704319
2005-07-01,ECB,8.273914127
2005-07-08,ECB,8.276341622
2005-07-15,ECB,8.198678539
2005-07-22,ECB,8.284126346
2005-07-29,ECB,8.343851081
2005-08-05,ECB,8.327687316
2005-08-12,ECB,8.268188589
2005-08-19,ECB,8.23762727
2005-08-26,ECB,8.305965425
2005-09-02,ECB,8.178145284
2005-09-09,ECB,8.194735953
2005-09-16,ECB,8.071410861
2005-09-23,ECB,8.154539992
2005-09-30,ECB,8.337556337
2005-10-07,ECB,8.295301191
2005-10-14,ECB,8.231307413
2005-10-21,ECB,8.358549979
2005-10-28,ECB,8.40000154
2005-11-04,ECB,8.359077331
2005-11-11,ECB,8.35644894
2005-11-18,ECB,8.363547269
2005-11-25,ECB,8.514972702
2005-12-02,ECB,8.48399285
2005-12-09,ECB,8.72049778
2005-12-16,ECB,8.512494984
2005-12-23,ECB,8.535983086
2005-12-30,ECB,8.690028539
2006-01-06,ECB,8.693895789
2006-01-13,ECB,8.649062477
2006-01-20,ECB,8.799081637
2006-01-27,ECB,8.832614544
2006-02-03,ECB,8.624913092
2006-02-10,ECB,8.666791557
2006-02-17,ECB,8.699914301
2006-02-24,ECB,8.895779625
2006-03-03,ECB,8.837461162
2006-03-10,ECB,8.808088479
2006-03-17,ECB,8.73896348
2006-03-24,ECB,8.840491345
2006-03-31,ECB,8.935498458
2006-04-07,ECB,8.931706544
2006-04-14,ECB,8.999693131
2006-04-21,ECB,9.080562181
2006-04-28,ECB,9.043580558
2006-05-05,ECB,9.034163553
2006-05-12,ECB,9.004280259
2006-05-19,ECB,9.010265288
2006-05-26,ECB,9.074593893
2006-06-02,ECB,9.077875196
2006-06-09,ECB,9.044777564
2006-06-16,ECB,9.101061954
2006-06-23,ECB,9.312521837
2006-06-30,ECB,9.314631246
2006-07-07,ECB,9.303138315
2006-07-14,ECB,9.273347098
2006-07-21,ECB,9.418293632
2006-07-28,ECB,9.444502202
2006-08-04,ECB,9.330175582
2006-08-11,ECB,9.31406204
2006-08-18,ECB,9.240483845
2006-08-25,ECB,9.316765767
2006-09-01,ECB,9.268441885
2006-09-08,ECB,9.252922662
2006-09-15,ECB,9.225759835
2006-09-22,ECB,9.312622285
2006-09-29,ECB,9.361046615
2006-10-06,ECB,9.329974685
2006-10-13,ECB,9.292834019
2006-10-20,ECB,9.385874024
2006-10-27,ECB,9.364570667
2006-11-03,ECB,9.317979514
2006-11-10,ECB,9.315150228
2006-11-17,ECB,9.318531979
2006-11-24,ECB,9.486598305
2006-12-01,ECB,9.426580596
2006-12-08,ECB,9.594898043
2006-12-15,ECB,9.527949418
2006-12-22,ECB,9.561992936
2006-12-29,ECB,9.634474574
2007-01-05,ECB,9.663236198
2007-01-12,ECB,9.528334469
2007-01-19,ECB,9.552827052
2007-01-26,ECB,9.610768834
2007-02-02,ECB,9.514698647
2007-02-09,ECB,9.435386542
2007-02-16,ECB,9.501464616
2007-02-23,ECB,9.629586102
2007-03-02,ECB,9.611446859
2007-03-09,ECB,9.541108113
2007-03-16,ECB,9.45883279
2007-03-23,ECB,9.564797111
2007-03-30,ECB,9.73177525
2007-04-06,ECB,9.805571083
2007-04-13,ECB,9.723119977
2007-04-20,ECB,9.745511521
2007-04-27,ECB,9.846486922
2007-05-04,ECB,9.754802965
2007-05-11,ECB,9.745511521
2007-05-18,ECB,9.785255465
2007-05-25,ECB,9.936421408
2007-06-01,ECB,9.864324821
2007-06-08,ECB,9.846805007
2007-06-15,ECB,9.879567812
2007-06-22,ECB,9.933240553
2007-06-29,ECB,10.11556213
2007-07-06,ECB,9.975805413
2007-07-13,ECB,9.922291716
2007-07-20,ECB,10.01482948
2007-07-27,ECB,10.15014137
2007-08-03,ECB,10.00398109
2007-08-10,ECB,10.48927073
2007-08-17,ECB,10.10928413
2007-08-24,ECB,10.18613526
2007-08-31,ECB,9.68933595
2007-09-07,ECB,10.10660551
2007-09-14,ECB,10.87607105
2007-09-21,ECB,9.957607575
2007-09-28,ECB,10.46665317
2007-10-05,ECB,10.28213011
2007-10-12,ECB,10.79078228
2007-10-19,ECB,10.45770493
2007-10-26,ECB,10.57637592
2007-11-02,ECB,10.51574716
2007-11-09,ECB,10.450548
2007-11-16,ECB,10.64549255
2007-11-23,ECB,10.76068972
2007-11-30,ECB,10.85898651
2007-12-07,ECB,10.82349487
2007-12-14,ECB,11.20345635
2007-12-21,ECB,12.3296715
2007-12-28,ECB,12.65012589
2008-01-04,ECB,10.76292469
2008-01-11,ECB,10.97446828
2008-01-18,ECB,11.30692621
2008-01-25,ECB,11.19612364
2008-02-01,ECB,11.14067632
2008-02-08,ECB,11.11869494
2008-02-15,ECB,11.28417473
2008-02-22,ECB,11.20727338
2008-02-29,ECB,11.18956104
2008-03-07,ECB,11.15791153
2008-03-14,ECB,11.44858307
2008-03-21,ECB,11.54256896
2008-03-28,ECB,11.64196231
2008-04-04,ECB,11.43260346
2008-04-11,ECB,11.3603562
2008-04-18,ECB,11.99676155
2008-04-25,ECB,11.76798275
2008-05-02,ECB,11.71704722
2008-05-09,ECB,11.65919752
2008-05-16,ECB,12.06112364
2008-05-23,ECB,11.91813584
2008-05-30,ECB,11.91351523
2008-06-06,ECB,11.78377821
2008-06-13,ECB,12.07563001
2008-06-20,ECB,12.06340046
2008-06-27,ECB,12.24386375
2008-07-04,ECB,11.75988832
2008-07-11,ECB,12.15569548
2008-07-18,ECB,11.9478601
2008-07-25,ECB,12.14499776
2008-08-01,ECB,12.09195282
2008-08-08,ECB,12.06748535
2008-08-15,ECB,12.22291197
2008-08-22,ECB,12.01155253
2008-08-29,ECB,12.13026538
2008-09-05,ECB,12.06229554
2008-09-12,ECB,12.20214433
2008-09-19,ECB,12.22607608
2008-09-26,ECB,12.71126527
2008-10-03,ECB,14.72147347
2008-10-10,ECB,15.75238016
2008-10-17,ECB,16.51603645
2008-10-24,ECB,16.39114604
2008-10-31,ECB,17.0045739
2008-11-07,ECB,16.24217321
2008-11-14,ECB,16.73062696
2008-11-21,ECB,16.52354494
2008-11-28,ECB,16.56598424
2008-12-05,ECB,17.0470718
2008-12-12,ECB,17.19199322
2008-12-19,ECB,16.92117691
2008-12-26,ECB,17.10517262
2009-01-02,ECB,17.48530989
2009-01-09,ECB,17.1227594
2009-01-16,ECB,16.83053092
2009-01-23,ECB,17.07448574
2009-01-30,ECB,15.96269326
2009-02-06,ECB,15.85234271
2009-02-13,ECB,15.35223699
2009-02-20,ECB,15.55584518
2009-02-27,ECB,15.23686403
2009-03-06,ECB,15.40888969
2009-03-13,ECB,15.31358123
2009-03-20,ECB,15.25594916
2009-03-27,ECB,15.09301406
2009-04-03,ECB,15.37176576
2009-04-10,ECB,15.29989518
2009-04-17,ECB,15.40272887
2009-04-24,ECB,15.26779366
2009-05-01,ECB,15.06072001
2009-05-08,ECB,15.02618262
2009-05-15,ECB,14.7671857
2009-05-22,ECB,14.53876684
2009-05-29,ECB,15.06394272
2009-06-05,ECB,14.63057635
2009-06-12,ECB,14.45300094
2009-06-19,ECB,14.39519309
2009-06-26,ECB,16.71889965
2009-07-03,ECB,16.00160851
2009-07-10,ECB,15.81143524
2009-07-17,ECB,15.7009675
2009-07-24,ECB,15.63514054
2009-07-31,ECB,15.52000197
2009-08-07,ECB,15.3676725
2009-08-14,ECB,15.08191455
2009-08-21,ECB,15.05351286
2009-08-28,ECB,15.24609688
2009-09-04,ECB,15.23033491
2009-09-11,ECB,15.08790795
2009-09-18,ECB,15.0083782
2009-09-25,ECB,14.98552627
2009-10-02,ECB,15.44026296
2009-10-09,ECB,15.09015966
2009-10-16,ECB,15.07882577
2009-10-23,ECB,14.95103911
2009-10-30,ECB,14.89142319
2009-11-06,ECB,14.84693308
2009-11-13,ECB,14.72907403
2009-11-20,ECB,14.74473556
2009-11-27,ECB,14.72556672
2009-12-04,ECB,14.7276008
2009-12-11,ECB,14.60298662
2009-12-18,ECB,15.42172192
2009-12-25,ECB,15.50635778
2010-01-01,ECB,15.94558361
2010-01-08,ECB,15.73342896
2010-01-15,ECB,15.65822685
2010-01-22,ECB,15.656017
2010-01-29,ECB,15.71723171
2010-02-05,ECB,15.69082225
2010-02-12,ECB,15.69238756
2010-02-19,ECB,15.74415179
2010-02-26,ECB,15.81233927
2010-03-05,ECB,15.82317092
2010-03-12,ECB,15.79291932
2010-03-19,ECB,15.81815689
2010-03-26,ECB,15.86156719
2010-04-02,ECB,16.26042965
2010-04-09,ECB,16.21109291
2010-04-16,ECB,16.2390091
2010-04-23,ECB,16.26638956
2010-04-30,ECB,16.37988749
2010-05-07,ECB,16.60105735
2010-05-14,ECB,17.26821655
2010-05-21,ECB,17.32702051
2010-05-28,ECB,17.48172724
2010-06-04,ECB,17.56591945
2010-06-11,ECB,17.63805789
2010-06-18,ECB,17.78549888
2010-06-25,ECB,18.03247552
2010-07-02,ECB,17.1582929
2010-07-09,ECB,16.78107699
2010-07-16,ECB,16.63243062
2010-07-23,ECB,16.68786958
2010-07-30,ECB,16.75523673
2010-08-06,ECB,16.4475811
2010-08-13,ECB,16.34863977
2010-08-20,ECB,16.37356763
2010-08-27,ECB,16.38915382
2010-09-03,ECB,16.43349326
2010-09-10,ECB,16.51746783
2010-09-17,ECB,16.49425596
2010-09-24,ECB,16.50157193
2010-10-01,ECB,15.61870892
2010-10-08,ECB,15.63601109
2010-10-15,ECB,15.71129691
2010-10-22,ECB,15.71980988
2010-10-29,ECB,15.86810468
2010-11-05,ECB,15.79003981
2010-11-12,ECB,15.72831448
2010-11-19,ECB,15.80707412
2010-11-26,ECB,16.03787862
2010-12-03,ECB,16.10625863
2010-12-10,ECB,16.33671157
2010-12-17,ECB,16.28289653
2010-12-24,ECB,16.12320087
2010-12-31,ECB,16.77844023
2011-01-07,ECB,16.4558597
2011-01-14,ECB,16.3826247
2011-01-21,ECB,16.41590648
2011-01-28,ECB,16.45312249
2011-02-04,ECB,16.87191551
2011-02-11,ECB,16.37422891
2011-02-18,ECB,16.39388325
2011-02-25,ECB,16.34187627
2011-03-04,ECB,16.23256368
2011-03-11,ECB,16.34807057
2011-03-18,ECB,16.24226529
2011-03-25,ECB,16.13911352
2011-04-01,ECB,15.80797815
2011-04-08,ECB,15.67919538
2011-04-15,ECB,15.77885659
2011-04-22,ECB,15.80283856
2011-04-29,ECB,15.85489576
2011-05-06,ECB,15.91976009
2011-05-13,ECB,15.8930995
2011-05-20,ECB,15.86970348
2011-05-27,ECB,15.90938046
2011-06-03,ECB,15.8958116
2011-06-10,ECB,15.8421556
2011-06-17,ECB,16.02596716
2011-06-24,ECB,16.50841914
2011-07-01,ECB,16.27746396
2011-07-08,ECB,16.0675108
2011-07-15,ECB,16.38302649
2011-07-22,ECB,16.79207606
2011-07-29,ECB,16.74528401
2011-08-05,ECB,16.7772516
2011-08-12,ECB,17.35261802
2011-08-19,ECB,17.38292822
2011-08-26,ECB,17.34095768
2011-09-02,ECB,17.3534216
2011-09-09,ECB,17.46426603
2011-09-16,ECB,17.86904655
2011-09-23,ECB,18.24868995
2011-09-30,ECB,19.15687424
2011-10-07,ECB,19.21677476
2011-10-14,ECB,19.343423
2011-10-21,ECB,19.36282622
2011-10-28,ECB,19.53189703
2011-11-04,ECB,19.49155039
2011-11-11,ECB,19.61706023
2011-11-18,ECB,20.03394474
2011-11-25,ECB,20.25323958
2011-12-02,ECB,20.3883422
2011-12-09,ECB,20.5986553
2011-12-16,ECB,20.87482884
2011-12-23,ECB,22.87901016
2011-12-30,ECB,22.89904117
2012-01-06,ECB,22.49928305
2012-01-13,ECB,22.40817667
2012-01-20,ECB,22.65268396
2012-01-27,ECB,22.45496035
2012-02-03,ECB,22.28378013
2012-02-10,ECB,22.23069334
2012-02-17,ECB,22.29328085
2012-02-24,ECB,22.53885121
2012-03-02,ECB,25.30586849
2012-03-09,ECB,25.16041135
2012-03-16,ECB,24.99728372
2012-03-23,ECB,24.96844676
2012-03-30,ECB,24.81424226
2012-04-06,ECB,24.82182609
2012-04-13,ECB,24.9015651
2012-04-20,ECB,24.8366924
2012-04-27,ECB,24.79478882
2012-05-04,ECB,24.7798388
2012-05-11,ECB,24.87357357
2012-05-18,ECB,24.90493011
2012-05-25,ECB,24.94719362
2012-06-01,ECB,25.13371728
2012-06-08,ECB,25.19307371
2012-06-15,ECB,25.34057329
2012-06-22,ECB,25.596607
2012-06-29,ECB,25.96772068
2012-07-06,ECB,25.82356936
2012-07-13,ECB,25.94611598
2012-07-20,ECB,25.77956475
2012-07-27,ECB,25.90006055
2012-08-03,ECB,25.82531046
2012-08-10,ECB,25.8387705
2012-08-17,ECB,25.83059236
2012-08-24,ECB,25.78544933
2012-08-31,ECB,25.82158552
2012-09-07,ECB,25.7272062
2012-09-14,ECB,25.62272349
2012-09-21,ECB,25.52668679
2012-09-28,ECB,25.80202326
2012-10-05,ECB,25.63592404
2012-10-12,ECB,25.56102328
2012-10-19,ECB,25.50182589
2012-10-26,ECB,25.50160826
2012-11-02,ECB,25.45263983
2012-11-09,ECB,25.43738847
2012-11-16,ECB,25.45776268
2012-11-23,ECB,25.40732939
2012-11-30,ECB,25.39070524
2012-12-07,ECB,25.36666467
2012-12-14,ECB,25.31970521
2012-12-21,ECB,25.20576364
2012-12-28,ECB,25.2643416
2013-01-04,ECB,24.74508378
2013-01-11,ECB,24.71467313
2013-01-18,ECB,24.62827944
2013-01-25,ECB,24.51586133
2013-02-01,ECB,23.18420481
2013-02-08,ECB,23.16642551
2013-02-15,ECB,23.06726654
2013-02-22,ECB,23.00949217
2013-03-01,ECB,22.43857895
2013-03-08,ECB,22.31576447
2013-03-15,ECB,22.16423022
2013-03-22,ECB,22.12117149
2013-03-29,ECB,22.16659074
2013-04-05,ECB,22.15797732
2013-04-12,ECB,22.05214693
2013-04-19,ECB,21.90824673
2013-04-26,ECB,21.85793063
2013-05-03,ECB,21.83171369
2013-05-10,ECB,21.81628655
2013-05-17,ECB,21.57461691
2013-05-24,ECB,21.43060789
2013-05-31,ECB,21.34059807
2013-06-07,ECB,21.31675003
2013-06-14,ECB,21.35093585
2013-06-21,ECB,21.30604394
2013-06-28,ECB,20.34427062
2013-07-05,ECB,20.25992774
2013-07-12,ECB,20.11750915
2013-07-19,ECB,20.08089584
2013-07-26,ECB,20.05764211
2013-08-02,ECB,20.01502703
2013-08-09,ECB,19.91652098
2013-08-16,ECB,19.82610936
2013-08-23,ECB,19.76174727
2013-08-30,ECB,19.76013173
2013-09-06,ECB,19.7269504
2013-09-13,ECB,19.67213924
2013-09-20,ECB,19.64254055
2013-09-27,ECB,19.57099643
2013-10-04,ECB,19.67593116
2013-10-11,ECB,19.59089351
2013-10-18,ECB,19.48660333
2013-10-25,ECB,19.40944248
2013-11-01,ECB,19.3730217
2013-11-08,ECB,19.29800375
2013-11-15,ECB,19.24431426
2013-11-22,ECB,19.19897871
2013-11-29,ECB,19.17683829
2013-12-06,ECB,19.09177553
2013-12-13,ECB,19.11040864
2013-12-20,ECB,19.14816874
2013-12-27,ECB,19.13032247
2014-01-03,ECB,19.07307545
2014-01-10,ECB,18.58713291
2014-01-17,ECB,18.39756233
2014-01-24,ECB,18.59373737
2014-01-31,ECB,18.55828758
2014-02-07,ECB,18.33459814
2014-02-14,ECB,18.33259755
2014-02-21,ECB,18.28864316
2014-02-28,ECB,18.2570941
2014-03-07,ECB,18.18380888
2014-03-14,ECB,18.14569722
2014-03-21,ECB,18.13154241
2014-03-28,ECB,18.01454555
2014-04-04,ECB,18.08891059
2014-04-11,ECB,18.15666279
2014-04-18,ECB,18.14594834
2014-04-25,ECB,18.15649538
2014-05-02,ECB,18.55884841
2014-05-09,ECB,18.14525357
2014-05-16,ECB,18.28999084
2014-05-23,ECB,18.11184622
2014-05-30,ECB,18.39115876
2014-06-06,ECB,18.18374191
2014-06-13,ECB,17.78165675
2014-06-20,ECB,17.41078581
2014-06-27,ECB,17.47878914
2014-07-04,ECB,17.32974098
2014-07-11,ECB,17.21916442
2014-07-18,ECB,17.2642907
2014-07-25,ECB,17.11226258
2014-08-01,ECB,17.24092816
2014-08-08,ECB,16.95276782
2014-08-15,ECB,16.93534008
2014-08-22,ECB,16.85031918
2014-08-29,ECB,17.06542031
2014-09-05,ECB,16.84287766
2014-09-12,ECB,16.77316671
2014-09-19,ECB,16.64217408
2014-09-26,ECB,17.06139401
2014-10-03,ECB,17.19057858
2014-10-10,ECB,17.0986435
2014-10-17,ECB,16.99015961
2014-10-24,ECB,17.01575712
2014-10-31,ECB,17.17720224
2014-11-07,ECB,16.99026005
2014-11-14,ECB,16.97702602
2014-11-21,ECB,17.01895471
2014-11-28,ECB,17.19245361
2014-12-05,ECB,17.06018864
2014-12-12,ECB,17.03218874
2014-12-19,ECB,17.86972457
2014-12-26,ECB,17.99900958
2015-01-02,ECB,18.54936444
2015-01-09,ECB,18.15448642
2015-01-16,ECB,18.06576568
2015-01-23,ECB,18.07894112
2015-01-30,ECB,18.26441844
2015-02-06,ECB,17.99871661
2015-02-13,ECB,18.02310037
2015-02-20,ECB,18.14588974
2015-02-27,ECB,18.04579326
2015-03-06,ECB,17.86986687
2015-03-13,ECB,17.93094766
2015-03-20,ECB,18.06257646
2015-03-27,ECB,18.840714
2015-04-03,ECB,19.53820014
2015-04-10,ECB,19.66239578
2015-04-17,ECB,19.62137113
2015-04-24,ECB,19.76139571
2015-05-01,ECB,19.85985991
2015-05-08,ECB,19.90423283
2015-05-15,ECB,19.99441007
2015-05-22,ECB,20.11098003
2015-05-29,ECB,20.22909856
2015-06-05,ECB,20.32671732
2015-06-12,ECB,20.4419982
2015-06-19,ECB,20.52444094
2015-06-26,ECB,21.25768658
2015-07-03,ECB,20.90158987
2015-07-10,ECB,20.99527442
2015-07-17,ECB,21.08548514
2015-07-24,ECB,21.13727448
2015-07-31,ECB,21.23297636
2015-08-07,ECB,21.23332793
2015-08-14,ECB,21.2778013
2015-08-21,ECB,21.33896579
2015-08-28,ECB,21.4187048
2015-09-04,ECB,21.49848566
2015-09-11,ECB,21.65726891
2015-09-18,ECB,21.78311358
2015-09-25,ECB,21.93643915
2015-10-02,ECB,21.98837079
2015-10-09,ECB,22.03411651
2015-10-16,ECB,22.10323314
2015-10-23,ECB,22.20933976
2015-10-30,ECB,22.30780396
2015-11-06,ECB,22.34050817
2015-11-13,ECB,22.45326948
2015-11-20,ECB,22.53755376
2015-11-27,ECB,22.65722924
2015-12-04,ECB,22.75692393
2015-12-11,ECB,22.86813666
2015-12-18,ECB,23.09681501
2015-12-25,ECB,23.16846795
2016-01-01,ECB,23.28004899
2016-01-08,ECB,23.16071671
2016-01-15,ECB,23.25594146
2016-01-22,ECB,23.39206531
2016-01-29,ECB,23.50761405
2016-02-05,ECB,23.53759779
2016-02-12,ECB,23.66893361
2016-02-19,ECB,23.75240594
2016-02-26,ECB,23.85891435
2016-03-04,ECB,23.93878729
2016-03-11,ECB,24.04325326
2016-03-18,ECB,24.15941306
2016-03-25,ECB,24.25565903
2016-04-01,ECB,24.62451264
2016-04-08,ECB,24.71972902
2016-04-15,ECB,24.82830499
2016-04-22,ECB,24.97124256
2016-04-29,ECB,25.11836547
2016-05-06,ECB,25.26091799
2016-05-13,ECB,25.38690496
2016-05-20,ECB,25.56487379
2016-05-27,ECB,25.67687336
2016-06-03,ECB,25.7700473
2016-06-10,ECB,25.89773351
2016-06-17,ECB,26.02933719
2016-06-24,ECB,26.20936521
2016-07-01,ECB,27.05918081
2016-07-08,ECB,27.10356211
2016-07-15,ECB,27.19779075
2016-07-22,ECB,27.33725449
2016-07-29,ECB,27.49186915
2016-08-05,ECB,27.50718748
2016-08-12,ECB,27.5944852
